"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"Central African Rep.","626","Financial Development Index","FD_FD_IX","Value","0.0643528178334236","0.0542800948023796","0.0429835431277752","0.0414527021348476","0.0403797887265682","0.0409035012125969","0.040690254420042","0.0418089516460895","0.0415323600172997","0.0415215939283371","0.0415618717670441",
"Central African Rep.","626","Financial Institutions Depth Index","FD_FID_IX","Value","0.0292467791587114","0.032342929393053","0.0362485498189926","0.0326144509017467","0.0304486118257046","0.0315873958170414","0.0293826870620251","0.0344226807355881","0.0331765674054623","0.033128060400486","0.0333095043897629",
"Chad","628","Financial Markets Depth Index","FD_FMD_IX","Value","0.014669899828732","0.0144009636715054","0.0246205553412437","0.0783663913607597","0.0709912851452827","0.0762111991643906","0.0771367251873016","0.0771367251873016","0.0771367251873016","0.0771367251873016","0.0771367251873016",
"Comoros, Union of the","632","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.21379417181015","0.21379417181015","0.21379417181015","0.21379417181015","0.21379417181015","0.21379417181015","0.21379417181015","0.21379417181015","0.21379417181015","0.231933832168579","0.233582898974419",
"Comoros, Union of the","632","Financial Markets Depth Index","FD_FMD_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Congo, Rep. of","634","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.51313304901123","0.53136545419693","0.498588055372238","0.498588055372238","0.498588055372238","0.498588055372238","0.49361065030098","0.40749791264534","0.405977666378021","0.451416045427322","0.381306648254394",
"Congo, Rep. of","634","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Congo, Dem. Rep. of the","636","Financial Development Index","FD_FD_IX","Value","0.0293276570737362","0.0287898257374763","0.032779723405838","0.0435619428753853","0.0429133884608746","0.0395113304257393","0.0449317432940006","0.0513929836452007","0.0393118001520634","0.0453950986266136","0.0661309808492661",
"Fiji, Rep. of","819","Financial Development Index","FD_FD_IX","Value","0.188760578632355","0.189552143216133","0.1977868527174","0.200695365667343","0.205010235309601","0.210324630141258","0.209418669342995","0.212278962135315","0.212422028183937","0.218034043908119","0.217900514602661",
"Kiribati","826","Financial Institutions Depth Index","FD_FID_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Vanuatu","846","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.500927746295929","0.471122324466705","0.404093027114868","0.446954548358917","0.362753540277481","0.466781258583069","0.395440012216568","0.571599304676056","0.532551765441895","0.436867326498032","0.445861250162125",
"Cameroon","622","Financial Markets Depth Index","FD_FMD_IX","Value","0.00624407175928354","0.0116741396486759","0.0109162731096149","0.00930557399988174","0.00942783243954182","0.0087869456037879","0.00900615658611059","0.00786511413753033","0.00581398652866483","0.0059529822319746","0.00725159328430891",
"Cameroon","622","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Central African Rep.","626","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.395524531602859","0.316642820835114","0.225096508860588","0.225096508860588","0.225096508860588","0.225096508860588","0.225096508860588","0.225096508860588","0.225096508860588","0.225096508860588","0.225096508860588",
"Chad","628","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.431919246912003","0.485572904348373","0.468559831380844","0.436184167861938","0.341693490743637","0.401936322450638","0.413633495569229","0.477264881134033","0.429141610860825","0.379982471466065","0.320862799882889",
"Comoros, Union of the","632","Financial Markets Index","FD_FM_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Congo, Rep. of","634","Financial Development Index","FD_FD_IX","Value","0.0836871489882469","0.0879882052540779","0.0913524851202965","0.10071038454771","0.115259140729904","0.119278788566589","0.116983480751514","0.103128314018249","0.0964224860072136","0.103693753480911","0.0931178480386734",
"Congo, Dem. Rep. of the","636","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Benin","638","Financial Markets Index","FD_FM_IX","Value","0.00505504664033651","0.00505640497431159","0.00564464228227735","0.00582026923075318","0.00550073711201549","0.00564151769503951","0.00536745460703969","0.00563206663355231","0.00584643939509988","0.0058585493825376","0.00975912529975176",
"Benin","638","Financial Markets Access Index","FD_FMA_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
